depth,bang,threads,rep,wall_s,user_s,checksum
8,0,1,1,0.19,0.18,3185618221
8,0,1,2,0.19,0.18,3185618221
8,0,1,3,0.19,0.18,3185618221
8,0,2,1,0.12,0.24,3185618221
8,0,2,2,0.12,0.22,3185618221
8,0,2,3,0.12,0.24,3185618221
8,0,4,1,0.10,0.39,3185618221
8,0,4,2,0.09,0.36,3185618221
8,0,4,3,0.09,0.35,3185618221
8,0,8,1,0.09,0.61,3185618221
8,0,8,2,0.09,0.61,3185618221
8,0,8,3,0.09,0.62,3185618221
8,0,16,1,0.08,1.02,3185618221
8,0,16,2,0.08,1.01,3185618221
8,0,16,3,0.09,1.05,3185618221
8,0,32,1,0.08,1.49,3185618221
8,0,32,2,0.09,1.64,3185618221
8,0,32,3,0.09,1.59,3185618221
8,1,1,1,0.20,0.19,3185618221
8,1,1,2,0.19,0.19,3185618221
8,1,1,3,0.19,0.19,3185618221
8,1,2,1,0.12,0.23,3185618221
8,1,2,2,0.13,0.25,3185618221
8,1,2,3,0.12,0.23,3185618221
8,1,4,1,0.10,0.37,3185618221
8,1,4,2,0.10,0.38,3185618221
8,1,4,3,0.10,0.36,3185618221
8,1,8,1,0.09,0.62,3185618221
8,1,8,2,0.09,0.60,3185618221
8,1,8,3,0.09,0.60,3185618221
8,1,16,1,0.09,1.00,3185618221
8,1,16,2,0.08,1.05,3185618221
8,1,16,3,0.09,1.05,3185618221
8,1,32,1,0.09,1.74,3185618221
8,1,32,2,0.09,1.58,3185618221
8,1,32,3,0.10,1.68,3185618221
9,0,1,1,0.77,0.76,2158427939
9,0,1,2,0.76,0.75,2158427939
9,0,1,3,0.76,0.75,2158427939
9,0,2,1,0.47,0.92,2158427939
9,0,2,2,0.47,0.90,2158427939
9,0,2,3,0.49,0.94,2158427939
9,0,4,1,0.37,1.41,2158427939
9,0,4,2,0.35,1.35,2158427939
9,0,4,3,0.36,1.36,2158427939
9,0,8,1,0.31,2.31,2158427939
9,0,8,2,0.32,2.33,2158427939
9,0,8,3,0.33,2.37,2158427939
9,0,16,1,0.31,3.88,2158427939
9,0,16,2,0.30,3.82,2158427939
9,0,16,3,0.30,4.00,2158427939
9,0,32,1,0.33,6.38,2158427939
9,0,32,2,0.32,6.37,2158427939
9,0,32,3,0.31,6.14,2158427939
9,1,1,1,0.80,0.80,2158427939
9,1,1,2,0.79,0.78,2158427939
9,1,1,3,0.80,0.78,2158427939
9,1,2,1,0.50,0.97,2158427939
9,1,2,2,0.49,0.96,2158427939
9,1,2,3,0.52,0.99,2158427939
9,1,4,1,0.37,1.41,2158427939
9,1,4,2,0.38,1.42,2158427939
9,1,4,3,0.37,1.41,2158427939
9,1,8,1,0.31,2.25,2158427939
9,1,8,2,0.32,2.29,2158427939
9,1,8,3,0.32,2.28,2158427939
9,1,16,1,0.28,3.70,2158427939
9,1,16,2,0.29,3.75,2158427939
9,1,16,3,0.29,3.70,2158427939
9,1,32,1,0.30,6.29,2158427939
9,1,32,2,0.29,6.64,2158427939
9,1,32,3,0.30,6.47,2158427939
10,0,1,1,3.31,3.29,13924308
10,0,1,2,3.08,3.06,13924308
10,0,1,3,3.04,3.01,13924308
10,0,2,1,1.89,3.68,13924308
10,0,2,2,1.89,3.70,13924308
10,0,2,3,1.88,3.66,13924308
10,0,4,1,1.36,5.24,13924308
10,0,4,2,1.38,5.29,13924308
10,0,4,3,1.35,5.20,13924308
10,0,8,1,1.15,8.42,13924308
10,0,8,2,1.16,8.49,13924308
10,0,8,3,1.12,8.13,13924308
10,0,16,1,1.13,14.84,13924308
10,0,16,2,1.11,14.67,13924308
10,0,16,3,1.08,14.24,13924308
10,0,32,1,1.12,24.58,13924308
10,0,32,2,1.11,24.31,13924308
10,0,32,3,1.09,22.91,13924308
10,1,1,1,3.05,3.03,13924308
10,1,1,2,3.03,3.00,13924308
10,1,1,3,3.07,3.04,13924308
10,1,2,1,1.92,3.76,13924308
10,1,2,2,1.91,3.75,13924308
10,1,2,3,1.93,3.77,13924308
10,1,4,1,1.42,5.47,13924308
10,1,4,2,1.41,5.37,13924308
10,1,4,3,1.39,5.34,13924308
10,1,8,1,1.15,8.42,13924308
10,1,8,2,1.15,8.46,13924308
10,1,8,3,1.16,8.51,13924308
10,1,16,1,1.09,14.00,13924308
10,1,16,2,1.18,15.49,13924308
10,1,16,3,1.21,16.02,13924308
10,1,32,1,1.13,25.13,13924308
10,1,32,2,1.22,26.67,13924308
10,1,32,3,1.19,26.49,13924308
